studyName,"Date GMT",Island,Colony,"Breeding Pairs"
PAL9899,1998-12-16,CHR,7.1,12
PAL9899,1998-12-16,CHR,7.2,52
PAL9899,1998-12-16,CHR,8.0,122
PAL9899,1998-12-16,CHR,9.1,35
PAL9899,1998-12-16,CHR,10.0,4
PAL9899,1998-12-16,COR,1.0,0
PAL9899,1998-12-16,COR,2.0,67
PAL9899,1998-12-16,COR,3.0,43
PAL9899,1998-12-16,COR,4.0,0
PAL9899,1998-12-16,COR,5.0,231
PAL9899,1998-12-16,COR,5.1,91
PAL9899,1998-12-16,COR,6.0,39
PAL9900,1999-11-17,HUM,1.1,0
PAL9900,1999-11-17,HUM,1.2,0
PAL9900,1999-11-17,HUM,1.3,0
PAL9900,1999-11-17,HUM,2.1,84
PAL9900,1999-11-17,HUM,2.2,55
PAL9900,1999-11-17,HUM,3.0,204
PAL9900,1999-11-17,HUM,3.1,0
PAL9900,1999-11-17,HUM,4.0,77
PAL9900,1999-11-17,HUM,5.0,185
PAL9900,1999-11-17,LIT,1.0,6
PAL9900,1999-11-17,LIT,2.0,11
PAL9900,1999-11-17,LIT,3.0,0
PAL9900,1999-11-17,LIT,4.0,12
PAL9900,1999-11-17,LIT,5.0,44
PAL9900,1999-11-17,LIT,6.0,78
PAL9900,1999-11-17,LIT,7.0,40
PAL9900,1999-11-17,LIT,8.0,95
PAL9900,1999-11-17,LIT,9.0,15
PAL9900,1999-11-17,TOR,1.0,55
PAL9900,1999-11-17,TOR,2.0,0
PAL9900,1999-11-17,TOR,3.0,2
PAL9900,1999-11-17,TOR,4.0,112
PAL9900,1999-11-17,TOR,5.0,35
PAL9900,1999-11-17,TOR,6.0,20
PAL9900,1999-11-17,TOR,12.0,175
PAL9900,1999-11-17,TOR,13.0,131
PAL9900,1999-11-17,TOR,15.0,98
PAL9900,1999-11-17,TOR,17.0,4
PAL9900,1999-11-17,TOR,18.0,199
PAL9900,1999-11-17,TOR,19.0,376
PAL9900,1999-11-17,TOR,20.0,130
PAL9900,1999-11-17,TOR,21.0,27
PAL9900,1999-11-17,TOR,22.0,12
PAL9900,1999-11-17,TOR,23.0,144
PAL9900,1999-11-17,TOR,23.1,3
PAL9900,1999-11-19,CHR,1.0,145
PAL9900,1999-11-19,CHR,2.0,38
PAL9900,1999-11-19,CHR,3.0,49
PAL9900,1999-11-19,CHR,3.1,31
PAL9900,1999-11-19,CHR,4.1,1
PAL9900,1999-11-19,CHR,4.2,4
PAL9900,1999-11-19,CHR,5.0,38
PAL9900,1999-11-19,CHR,6.0,95
